"species","cultivar","chillPortions","hemisphere","quality","ssp","yearSpan","area_suitable","rasterName"
"almond_main","Nonpareil",22.9,"NH","good","ssp126","2081_2100",18892,"suitable_almond_main_NH_ssp126_good_2081_2100"
"almond_main","Nonpareil",22.9,"NH","good","ssp585","2081_2100",26392,"suitable_almond_main_NH_ssp585_good_2081_2100"
"almond_main","Nonpareil",22.9,"NH","good","historical","1991_2010",17410,"suitable_almond_main_NH_historical_good_1991_2010"
"almond_main","Nonpareil",22.9,"SH","good","ssp126","2081_2100",4808,"suitable_almond_main_SH_ssp126_good_2081_2100"
"almond_main","Nonpareil",22.9,"SH","good","ssp585","2081_2100",2597,"suitable_almond_main_SH_ssp585_good_2081_2100"
"almond_main","Nonpareil",22.9,"SH","good","historical","1991_2010",6266,"suitable_almond_main_SH_historical_good_1991_2010"
"apple_main","Gala",47.3,"NH","good","ssp126","2081_2100",15096,"suitable_apple_main_NH_ssp126_good_2081_2100"
"apple_main","Gala",47.3,"NH","good","ssp585","2081_2100",17681,"suitable_apple_main_NH_ssp585_good_2081_2100"
"apple_main","Gala",47.3,"NH","good","historical","1991_2010",13457,"suitable_apple_main_NH_historical_good_1991_2010"
"apple_main","Gala",47.3,"SH","good","ssp126","2081_2100",2905,"suitable_apple_main_SH_ssp126_good_2081_2100"
"apple_main","Gala",47.3,"SH","good","ssp585","2081_2100",2085,"suitable_apple_main_SH_ssp585_good_2081_2100"
"apple_main","Gala",47.3,"SH","good","historical","1991_2010",3915,"suitable_apple_main_SH_historical_good_1991_2010"
"cherry_main","Lapins",50.1,"NH","good","ssp126","2081_2100",15216,"suitable_cherry_main_NH_ssp126_good_2081_2100"
"cherry_main","Lapins",50.1,"NH","good","ssp585","2081_2100",18199,"suitable_cherry_main_NH_ssp585_good_2081_2100"
"cherry_main","Lapins",50.1,"NH","good","historical","1991_2010",13514,"suitable_cherry_main_NH_historical_good_1991_2010"
"cherry_main","Lapins",50.1,"SH","good","ssp126","2081_2100",3079,"suitable_cherry_main_SH_ssp126_good_2081_2100"
"cherry_main","Lapins",50.1,"SH","good","ssp585","2081_2100",2269,"suitable_cherry_main_SH_ssp585_good_2081_2100"
"cherry_main","Lapins",50.1,"SH","good","historical","1991_2010",3962,"suitable_cherry_main_SH_historical_good_1991_2010"
"olive_main","Picual",42,"NH","good","ssp126","2081_2100",15999,"suitable_olive_main_NH_ssp126_good_2081_2100"
"olive_main","Picual",42,"NH","good","ssp585","2081_2100",21706,"suitable_olive_main_NH_ssp585_good_2081_2100"
"olive_main","Picual",42,"NH","good","historical","1991_2010",13621,"suitable_olive_main_NH_historical_good_1991_2010"
"olive_main","Picual",42,"SH","good","ssp126","2081_2100",2430,"suitable_olive_main_SH_ssp126_good_2081_2100"
"olive_main","Picual",42,"SH","good","ssp585","2081_2100",1376,"suitable_olive_main_SH_ssp585_good_2081_2100"
"olive_main","Picual",42,"SH","good","historical","1991_2010",3195,"suitable_olive_main_SH_historical_good_1991_2010"
"grape_main","Chardonnay",9,"NH","good","ssp126","2081_2100",15414,"suitable_grape_main_NH_ssp126_good_2081_2100"
"grape_main","Chardonnay",9,"NH","good","ssp585","2081_2100",16431,"suitable_grape_main_NH_ssp585_good_2081_2100"
"grape_main","Chardonnay",9,"NH","good","historical","1991_2010",13712,"suitable_grape_main_NH_historical_good_1991_2010"
"grape_main","Chardonnay",9,"SH","good","ssp126","2081_2100",4521,"suitable_grape_main_SH_ssp126_good_2081_2100"
"grape_main","Chardonnay",9,"SH","good","ssp585","2081_2100",2835,"suitable_grape_main_SH_ssp585_good_2081_2100"
"grape_main","Chardonnay",9,"SH","good","historical","1991_2010",6168,"suitable_grape_main_SH_historical_good_1991_2010"
