"species","cultivar","chillPortions","hemisphere","historical_1991_2010","ssp126_2081_2100","ssp585_2081_2100","ssp126_2081_2100_common","ssp585_2081_2100_common","ratioEnd2Early_126","ratioEnd2Early_585","ratioEndCommon2Early_126","ratioEndCommon2Early_585","ratioLossEnd2Early_126","ratioLossEnd2Early_585"
"almond_main","Nonpareil",22.9,"NH",17410,18892,26392,14490,10361,8.51234922458357,51.5910396323952,83.228029867892,59.5117748420448,-8.51234922458357,-51.5910396323952
"almond_main","Nonpareil",22.9,"SH",6266,4808,2597,4522,1574,-23.2684328120013,-58.5541015001596,72.1672518353016,25.1196935844239,23.2684328120013,58.5541015001596
"apple_main","Gala",47.3,"NH",13457,15096,17681,10663,4849,12.1795348145946,31.388868247009,79.2375715241138,36.0332912238983,-12.1795348145946,-31.388868247009
"apple_main","Gala",47.3,"SH",3915,2905,2085,2628,1180,-25.7982120051086,-46.7432950191571,67.1264367816092,30.1404853128991,25.7982120051086,46.7432950191571
"cherry_main","Lapins",50.1,"NH",13514,15216,18199,10743,5017,12.5943466035223,34.6677519609294,79.495338167826,37.1244635193133,-12.5943466035223,-34.6677519609294
"cherry_main","Lapins",50.1,"SH",3962,3079,2269,2736,1269,-22.2867238768299,-42.7309439676931,69.0560323069157,32.0292781423523,22.2867238768299,42.7309439676931
"grape_main","Chardonnay",9,"NH",13712,15414,16431,10291,3652,12.4124854142357,19.8293465577596,75.0510501750292,26.6336056009335,-12.4124854142357,-19.8293465577596
"grape_main","Chardonnay",9,"SH",6168,4521,2835,4197,1624,-26.7023346303502,-54.0369649805448,68.0447470817121,26.3294422827497,26.7023346303502,54.0369649805447
"olive_main","Picual",42,"NH",13621,15999,21706,11466,5771,17.4583363923354,59.3568754129653,84.1788414947508,42.3684017326188,-17.4583363923354,-59.3568754129653
"olive_main","Picual",42,"SH",3195,2430,1376,2054,612,-23.943661971831,-56.9327073552426,64.2879499217527,19.1549295774648,23.943661971831,56.9327073552426
